# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	3051942	1386	+							DKM44_00005	1488		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	3051942	1386	+	AWN21815.1			chromosomal replication initiator protein DnaA			DKM44_00005	1488	495	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	1757	2839	+					dnaN		DKM44_00010	1083		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	1757	2839	+	AWN21816.1			DNA polymerase III subunit beta	dnaN		DKM44_00010	1083	360	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	3001	4269	+							DKM44_00015	1269		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	3001	4269	+	AWN21817.1			phosphopyruvate hydratase			DKM44_00015	1269	422	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	4352	5776	+					pyk		DKM44_00020	1425		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	4352	5776	+	AWN21818.1			pyruvate kinase	pyk		DKM44_00020	1425	474	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	5968	7203	-							DKM44_00025	1236		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	5968	7203	-	AWN21819.1			tyrosine--tRNA ligase			DKM44_00025	1236	411	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	7369	7929	+							DKM44_00030	561		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	7369	7929	+	AWN21820.1			MOSC domain-containing protein			DKM44_00030	561	186	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	7926	8474	+							DKM44_00035	549		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	7926	8474	+	AWN24376.1			hypothetical protein			DKM44_00035	549	182	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	8471	9142	+							DKM44_00040	672		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	8471	9142	+	AWN21821.1			tRNA (adenine-N(1))-methyltransferase			DKM44_00040	672	223	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	9139	9807	-							DKM44_00045	669		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	9139	9807	-	AWN21822.1			histidine phosphatase family protein			DKM44_00045	669	222	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	9804	10553	-					argB		DKM44_00050	750		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	9804	10553	-	AWN21823.1			acetylglutamate kinase	argB		DKM44_00050	750	249	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	10585	11058	-							DKM44_00055	474		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	10585	11058	-	AWN21824.1			N-acetyltransferase			DKM44_00055	474	157	
