# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	2971356	2042	+							SU48_00005	2670		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	2971356	2042	+	ANE44655.1			ATP-binding protein			SU48_00005	2670	889	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	2101	3372	+							SU48_00010	1272		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	2101	3372	+	ANE42407.1			twitching motility protein pilT			SU48_00010	1272	423	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	3702	4190	-							SU48_00015	489		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	3702	4190	-	ANE42408.1			hypothetical protein			SU48_00015	489	162	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	4242	5531	+							SU48_00020	1290		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	4242	5531	+	ANE42409.1			hypothetical protein			SU48_00020	1290	429	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	5540	5755	-							SU48_00025	216		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	5540	5755	-	ANE42410.1			hypothetical protein			SU48_00025	216	71	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	5881	8313	-							SU48_00030	2433		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	5881	8313	-	ANE42411.1			DNA-binding protein			SU48_00030	2433	810	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	8518	9756	-					clpX		SU48_00035	1239		
